trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
0	a99	b	circle	8	0.02	-1	82	3 	 3.496882109760441 	 3 	 2.0	2.0	6.0	1	-1	1	-1	-999	0.0	-999	2.5683 	3.1249 	4.1014 	-999	-999	-999	-999	-999	-999	2.1743 	3.2523 	4.3208 	-999	-999	-999	-999	-999	-999	2.6963 	3.3265 	4.522 	-999	-999	-999	-999	-999	-999	3	0	0
1	a99	b	circle	8	0.5914062500000057	1	99	0 	 4.218403681186375 	 2 	 -999.0	2.0	6.0	2	1	-1	-1	-999	-999	1.0	1.9296 	3.1943 	4.063 	5.5762 	-999	-999	-999	-999	-999	2.7511 	3.7645 	5.1727 	-999	-999	-999	-999	-999	-999	2.2609 	3.7776 	4.8993 	-999	-999	-999	-999	-999	-999	1	0	0
2	a99	b	circle	4	0.5914062500000057	1	117	3 	 3.5880453624604636 	 3 	 0.0	0.0	0.0	2	1	-1	-1	-999	-999	-0.0	1.9542 	3.8436 	5.5427 	-999	-999	-999	-999	-999	-999	1.8865 	2.8875 	3.8176 	5.0286 	-999	-999	-999	-999	-999	1.8604 	3.3084 	4.2224 	-999	-999	-999	-999	-999	-999	4	0	0
3	a99	b	circle	4	0.02	-1	121	3 	 4.267234497478537 	 3 	 1.0	0.0	2.0	2	-1	1	-1	-999	-999	0.0	3.1002 	4.4549 	5.027 	-999	-999	-999	-999	-999	-999	2.6772 	4.0717 	5.7931 	-999	-999	-999	-999	-999	-999	3.1469 	4.812 	-999	-999	-999	-999	-999	-999	-999	2	0	0
4	a99	b	circle	4	0.5914062500000057	1	125	3 	 4.472343115238196 	 2 	 2.0	-999.0	3.0	2	1	-1	-1	-999	-999	0.0	3.0975 	3.8298 	4.5674 	6.0909 	-999	-999	-999	-999	-999	2.7031 	4.7005 	6.0249 	-999	-999	-999	-999	-999	-999	1.8805 	3.6273 	4.2891 	4.9538 	-999	-999	-999	-999	-999	1	0	0
5	a99	b	circle	4	0.8914062500000028	1	82	3 	 5.370152067554219 	 2 	 0.0	-999.0	1.0	2	1	-1	-1	-999	-999	0.0	1.7033 	2.4497 	4.2901 	5.3705 	6.7933 	-999	-999	-999	-999	2.2996 	3.1684 	4.5778 	6.28 	-999	-999	-999	-999	-999	2.787 	3.5101 	4.7809 	5.6713 	-999	-999	-999	-999	-999	1	0	0
6	a99	b	circle	4	1.19140625	1	88	0 	 4.879545045459803 	 2 	 1.0	-999.0	1.0	2	1	-1	-1	-999	-999	-1.0	2.1643 	4.0142 	4.9172 	6.1918 	-999	-999	-999	-999	-999	2.8008 	4.3732 	6.1723 	-999	-999	-999	-999	-999	-999	2.3632 	3.4562 	5.1228 	6.4994 	-999	-999	-999	-999	-999	1	0	0
7	a99	b	circle	4	0.8914062500000028	-1	126	0 	 5.177395377293353 	 3 	 2.0	3.0	0.0	2	-1	1	-1	-999	-999	-1.0	2.0306 	2.7749 	3.3262 	4.1308 	6.0554 	-999	-999	-999	-999	2.8543 	3.9328 	5.8402 	-999	-999	-999	-999	-999	-999	2.6505 	4.1065 	5.7594 	-999	-999	-999	-999	-999	-999	2	0	0
8	a99	b	circle	4	0.8914062500000028	-1	106	3 	 5.256507707137295 	 2 	 0.0	2.0	3.0	0	-1	1	-1	0.0	-999	-999	3.0977 	4.3952 	5.4027 	6.2045 	-999	-999	-999	-999	-999	2.6191 	4.483 	5.4608 	6.3542 	-999	-999	-999	-999	-999	1.7208 	2.5826 	4.0934 	4.9951 	6.7459 	-999	-999	-999	-999	1	0	0
9	a99	b	circle	8	0.5914062500000057	-1	95	0 	 5.030840487285599 	 3 	 3.0	1.0	7.0	1	-1	1	-1	-999	-2.0	-999	1.7745 	3.169 	5.0364 	6.5002 	-999	-999	-999	-999	-999	3.1973 	5.0015 	6.8915 	-999	-999	-999	-999	-999	-999	3.0194 	3.9065 	4.687 	6.6251 	-999	-999	-999	-999	-999	3	0	0
10	a99	b	circle	8	0.2914062500000085	-1	106	3 	 3.503491988907092 	 2 	 -999.0	3.0	5.0	1	-1	1	-1	-999	0.0	-999	1.9381 	3.0859 	4.9999 	-999	-999	-999	-999	-999	-999	2.0274 	3.6319 	4.5024 	-999	-999	-999	-999	-999	-999	3.0502 	3.8474 	-999	-999	-999	-999	-999	-999	-999	1	0	0
11	a99	b	circle	4	0.1	1	100	3 	 5.542154784202364 	 2 	 3.0	0.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.8671 	4.5576 	6.1343 	-999	-999	-999	-999	-999	-999	2.1331 	3.9746 	4.741 	5.3665 	7.0479 	-999	-999	-999	-999	2.6098 	3.2219 	4.9611 	6.6056 	-999	-999	-999	-999	-999	1	0	0
12	a99	b	circle	8	0.2914062500000085	-1	87	3 	 4.3493905060378975 	 3 	 3.0	3.0	0.0	1	-1	1	-1	-999	0.0	-999	2.4422 	4.0945 	4.5995 	5.9348 	-999	-999	-999	-999	-999	3.1613 	3.9657 	4.9831 	-999	-999	-999	-999	-999	-999	1.7991 	2.94 	4.4603 	5.5177 	-999	-999	-999	-999	-999	2	0	0
13	a99	b	circle	4	0.02	-1	96	3 	 3.9682193660853007 	 2 	 0.0	0.0	-999.0	0	-1	1	-1	-0.0	-999	-999	1.8665 	3.1858 	4.3226 	-999	-999	-999	-999	-999	-999	2.497 	3.5802 	5.2835 	-999	-999	-999	-999	-999	-999	1.9349 	3.1518 	4.6322 	-999	-999	-999	-999	-999	-999	1	0	0
14	a99	b	circle	8	0.02	-1	92	3 	 5.501819617480586 	 2 	 0.0	7.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.5031 	3.538 	5.2055 	6.8379 	-999	-999	-999	-999	-999	2.5003 	3.0542 	4.3464 	5.5301 	6.4978 	-999	-999	-999	-999	2.6774 	3.5271 	5.2057 	5.8341 	-999	-999	-999	-999	-999	1	0	0
15	a99	b	circle	4	0.8914062500000028	1	95	3 	 4.5599922408566895 	 2 	 2.0	-999.0	0.0	0	1	-1	-1	0.0	-999	-999	3.0172 	3.6837 	5.3764 	-999	-999	-999	-999	-999	-999	1.9756 	2.8861 	4.4146 	6.2089 	-999	-999	-999	-999	-999	1.7427 	3.3215 	5.2261 	-999	-999	-999	-999	-999	-999	1	0	0
16	a99	b	circle	8	0.5914062500000057	1	110	0 	 3.411188980319514 	 3 	 0.0	7.0	4.0	0	1	-1	-1	-2.0	-999	-999	1.9954 	2.868 	4.4085 	-999	-999	-999	-999	-999	-999	2.6389 	3.2802 	3.8217 	-999	-999	-999	-999	-999	-999	3.1912 	4.5419 	-999	-999	-999	-999	-999	-999	-999	1	0	0
17	a99	b	circle	4	0.5914062500000057	1	85	3 	 5.487778494753138 	 3 	 1.0	1.0	1.0	1	1	-1	-1	-999	0.0	-999	3.1891 	4.6674 	5.4915 	6.313 	-999	-999	-999	-999	-999	3.0499 	4.1072 	5.6099 	6.4127 	-999	-999	-999	-999	-999	2.6013 	3.7101 	4.2927 	4.8255 	5.3745 	6.1481 	-999	-999	-999	3	0	0
18	a99	b	circle	4	0.5914062500000057	1	128	3 	 5.234135078079004 	 3 	 1.0	1.0	1.0	2	1	-1	-1	-999	-999	-0.0	2.8165 	4.1642 	5.6689 	-999	-999	-999	-999	-999	-999	1.7808 	2.5696 	3.1087 	4.1312 	4.9325 	5.5292 	6.1766 	-999	-999	3.1365 	5.0925 	5.7571 	-999	-999	-999	-999	-999	-999	3	0	0
